fiveTuple,srcIP,dstIP,protocol,srcPort,dstPort,flowDuration,flowLength,fwdFlowLength,bwdFlowLength,packetSizeTotal,packetSizeMean,packetSizeStd,packetSizeMin,packetSizeMax,fwdPacketSizeTotal,bwdPacketSizeTotal,fwdPacketSizeMean,bwdPacketSizeMean,fwdPacketSizeStd,bwdPacketSizeStd,fwdPacketSizeMin,bwdPacketSizeMin,fwdPacketSizeMax,bwdPacketSizeMax,IATMean,IATStd,IATMin,IATMax,fwdIATTotal,bwdIATTotal,fwdIATMean,bwdIATMean,fwdIATStd,bwdIATStd,fwdIATMin,bwdIATMin,fwdIATMax,bwdIATMax,Type
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--38184,198.199.96.210,138.68.177.159,TCP,38184,8080(http-alt),3594670000.0,83.0,0.0,83.0,14304.0,172.337349,153.147875,66.0,398.0,0.0,14304.0,172.337349,172.337349,0.0,153.147875,0.0,66.0,0.0,398.0,43837000.0,60860000.0,4000.0,133975000.0,0.0,3594670000.0,0.0,43837000.0,0.0,60860000.0,0.0,4000.0,0.0,133975000.0,Malicious
198.199.96.210--138.68.177.159--TCP--38796--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),38796,6437923000.0,50.0,0.0,50.0,8750.0,175.0,0.0,175.0,175.0,0.0,8750.0,175.0,175.0,0.0,0.0,0.0,175.0,0.0,175.0,131386000.0,2630000.0,129617000.0,145008000.0,0.0,6437923000.0,0.0,131386000.0,0.0,2630000.0,0.0,129617000.0,0.0,145008000.0,Malicious
198.199.96.210--138.68.177.159--TCP--37034--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),37034,655220000.0,83.0,0.0,83.0,195494.0,2355.349398,1068.303513,66.0,2962.0,0.0,195494.0,2355.349398,2355.349398,0.0,1068.303513,0.0,66.0,0.0,2962.0,7990000.0,31288000.0,4000.0,131319000.0,0.0,655220000.0,0.0,7990000.0,0.0,31288000.0,0.0,4000.0,0.0,131319000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--55548,198.199.96.210,138.68.177.159,TCP,55548,8080(http-alt),4397224000.0,83.0,0.0,83.0,15933.0,191.963855,159.031136,66.0,399.0,0.0,15933.0,191.963855,191.963855,0.0,159.031136,0.0,66.0,0.0,399.0,53624000.0,62652000.0,3000.0,145670000.0,0.0,4397224000.0,0.0,53624000.0,0.0,62652000.0,0.0,3000.0,0.0,145670000.0,Malicious
198.199.96.210--138.68.177.159--TCP--38340--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),38340,941578000.0,83.0,0.0,83.0,193386.0,2329.951807,1118.803512,66.0,2962.0,0.0,193386.0,2329.951807,2329.951807,0.0,1118.803512,0.0,66.0,0.0,2962.0,11482000.0,35245000.0,5000.0,154941000.0,0.0,941578000.0,0.0,11482000.0,0.0,35245000.0,0.0,5000.0,0.0,154941000.0,Malicious
198.199.96.210--138.68.177.159--TCP--58702--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),58702,546410000.0,83.0,0.0,83.0,193066.0,2326.096386,1129.907914,103.0,2962.0,0.0,193066.0,2326.096386,2326.096386,0.0,1129.907914,0.0,103.0,0.0,2962.0,6663000.0,29358000.0,2000.0,138056000.0,0.0,546410000.0,0.0,6663000.0,0.0,29358000.0,0.0,2000.0,0.0,138056000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--58912,198.199.96.210,138.68.177.159,TCP,58912,8080(http-alt),2746661000.0,78.0,0.0,78.0,11019.0,141.269231,137.184199,66.0,395.0,0.0,11019.0,141.269231,141.269231,0.0,137.184199,0.0,66.0,0.0,395.0,35670000.0,57743000.0,3000.0,157629000.0,0.0,2746661000.0,0.0,35670000.0,0.0,57743000.0,0.0,3000.0,0.0,157629000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--58640,198.199.96.210,138.68.177.159,TCP,58640,8080(http-alt),2705656000.0,62.0,0.0,62.0,10634.0,171.516129,152.915509,66.0,399.0,0.0,10634.0,171.516129,171.516129,0.0,152.915509,0.0,66.0,0.0,399.0,44355000.0,60792000.0,45000.0,137529000.0,0.0,2705656000.0,0.0,44355000.0,0.0,60792000.0,0.0,45000.0,0.0,137529000.0,Malicious
198.199.96.210--138.68.177.159--TCP--5288--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),5288,926532000.0,83.0,0.0,83.0,193386.0,2329.951807,1118.803512,66.0,2962.0,0.0,193386.0,2329.951807,2329.951807,0.0,1118.803512,0.0,66.0,0.0,2962.0,11299000.0,34553000.0,1000.0,139535000.0,0.0,926532000.0,0.0,11299000.0,0.0,34553000.0,0.0,1000.0,0.0,139535000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--38798,198.199.96.210,138.68.177.159,TCP,38798,8080(http-alt),6426041000.0,51.0,0.0,51.0,17771.0,348.45098,40.173796,66.0,375.0,0.0,17771.0,348.45098,348.45098,0.0,40.173796,0.0,66.0,0.0,375.0,128520000.0,3315000.0,421000.0,140887000.0,0.0,6426041000.0,0.0,128520000.0,0.0,3315000.0,0.0,421000.0,0.0,140887000.0,Malicious
